,begin,end,subtitles_text
0,00:00:00.12,00:00:00.12,
1,00:00:01.75,00:00:01.75,">> Jeff: PREVIOUSLYON ""SURVIVOR."""
2,00:00:03.04,00:00:03.04,"IN A VAST AND UNFORGIVINGNICARAGUAN RAIN FOREST,"
3,00:00:06.08,00:00:06.08,FORMER N.F.L. COACHJIMMY JOHNSON EMERGED
4,00:00:08.12,00:00:08.12,"AS A LEADER OF THE OLDER TRIBE,"
5,00:00:10.21,00:00:10.21,BUT MARTY WAS ENVIOUSOF THE COACH'S STAR POWER.
6,00:00:13.25,00:00:13.25,>> I NEED TO REMOVE HIMSO PEOPLE WILL LOSE THEIR DADDY
7,00:00:15.75,00:00:15.75,AND THEY'LL HAVE TO COME TO ME.
8,00:00:17.29,00:00:17.29,"ON THE YOUNGER TRIBE, BRENDA,A FORMER N.F.L. CHEERLEADER,"
9,00:00:20.12,00:00:20.12,WAS AT THE TOPOF THE FOOD CHAIN.
10,00:00:22.08,00:00:22.08,>> I HAVE PEOPLE ON MY SIDEWITHOUT DOING ANYTHING.
11,00:00:24.42,00:00:24.42,I GET A GOOD VIBE FROM NAYAND I'M TIGHT WITH CHASE.
12,00:00:27.83,00:00:27.83,WE COULD RULE THIS.
13,00:00:29.17,00:00:29.17,"KELLY B. AND ALINA WEREAT THE BOTTOM OF THE FOOD CHAIN,"
14,00:00:31.88,00:00:31.88,BUT THEY HAD A CLUETO THE HIDDEN IMMUNITY IDOL.
15,00:00:34.25,00:00:34.25,>> WE KEEP IT BETWEEN US.
16,00:00:35.38,00:00:35.38,">> AT THE CHALLENGE, THE YOUNGERTRIBE TOOK A BIG RISK"
17,00:00:37.75,00:00:37.75,BY NOT USING THE MEDALLIONOF POWER.
18,00:00:39.71,00:00:39.71,>> WE CAN TAKE THEMWITHOUT USING IT.
19,00:00:40.83,00:00:40.83,>> Jeff: AND THE RISK PAID OFF.
20,00:00:42.25,00:00:42.25,BECAUSE WHILE JIMMY T.DISTRACTED THE OLDER TRIBE...
21,00:00:44.67,00:00:44.67,>> YOU'RE WASTING ME BACK HERE.
22,00:00:46.25,00:00:46.25,">> JIMMY T., BE QUIET."
23,00:00:47.38,00:00:47.38,>> Jeff: ...THE YOUNGER TRIBECRUISED TO VICTORY.
24,00:00:50.21,00:00:50.21,>> IF THESE PEOPLE KNEWWHAT THEY WERE DOING
